county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023
"Bernalillo County, New Mexico",,,7.5,8,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
"Boulder County, Colorado",,,,,,,,,,,,,13.65
"Cook County, Illinois",,,,,,,8.25,10,11,12,13,13.35,13.7
"Howard County, Maryland",,,,,,,,,,,12.2,12.5,13.25
"Los Angeles County, California",,,,,,,10,10.5,12,13.25,15,15.96,16.9
"Montgomery County, Maryland",,,,,,,,11.5,12,12.5,13.5,14,14.5
"Prince George's County, Maryland",,,,,7.25,8.4,9.55,10.75,11.5,11.5,11.5,11.5,11.5
"San Mateo County, California",,,,,,,,,,,,15.5,16.5
"Santa Fe County, New Mexico",,,,7.5,10.66,10.84,10.91,11.09,11.4,11.8,12.32,12.95,14.03
