State or other,statefips,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Federal (FLSA),,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Alabama,01,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Alaska,02,7.75,7.75,7.75,7.75,7.75,8.75,9.75,9.8,9.84,10.19,10.19,10.34,10.34,10.85
Arizona,04,7.25,7.35,7.65,7.8,7.9,8.05,8.05,10,10.5,12,12,12.15,12.8,13.85
Arkansas,05,7.75,7.75,7.75,7.75,7.75,7.5,8,8.5,8.5,9.25,10,11,11,11
California,06,8,8,8,8,9,9,10,10,11,12,12,13,14,15.5
Colorado,08,7.25,7.36,7.64,7.78,8,8.23,8.31,9.3,10.2,12,12.02,12.32,12.56,13.65
Connecticut,09,8.25,8.25,8.25,8.25,8.7,9.15,9.6,10.1,10.1,11,12,13,14,15
Delaware,10,7.25,7.25,7.25,7.25,7.75,8.25,8.25,8.25,8.25,9.25,9.25,9.25,10.5,11.75
Florida,12,7.25,7.25,7.67,7.79,7.93,8.05,8.05,8.1,8.25,8.56,8.56,10,10,12
Georgia,13,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Hawaii,15,7.25,7.25,7.25,7.25,7.25,7.75,8.5,9.25,10.1,10.1,10.1,10.1,12,12
Idaho,16,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Illinois,17,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,9.25,10,11,12,13
Indiana,18,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Iowa,19,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,20,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kentucky,21,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Louisiana,22,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Maine,23,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9,10,12,12,12.15,12.75,13.8
Maryland,24,7.25,7.25,7.25,7.25,7.25,8.25,8.75,8.75,10.1,11,11,11.75,12.5,13.25
Massachusetts,25,8,8,8,8,8,9,10,11,11,12.75,12.75,13.5,14.25,15
Michigan,26,7.4,7.4,7.4,7.4,8.15,8.15,8.5,8.9,9.25,9.65,9.65,9.65,9.87,10.1
Minnesota,27,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.75,8.04,8.15,10,10.08,10.33,10.59
Mississippi,28,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Missouri,29,7.25,7.25,7.25,7.35,7.5,7.65,7.65,7.7,7.85,9.45,9.45,10.3,11.15,12
Montana,30,7.25,7.25,7.25,7.25,7.9,8.05,8.05,8.15,8.3,8.65,8.65,8.75,9.2,9.95
Nebraska,31,7.25,7.25,7.25,7.25,7.25,8,9,9,9,9,9,9,9,10.5
Nevada,32,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,8,8.75,9.5,10.25
New Hampshire,33,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
New Jersey,34,7.25,7.25,7.25,7.25,8.25,8.38,8.38,8.44,8.6,11,11,12,13,14.13
New Mexico,35,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9,9,10.5,11.5,12
New York,36,7.25,7.25,7.25,7.25,8,8.75,9,9.7,10.4,11.8,11.8,12.5,13.2,14.2
North Carolina,37,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
North Dakota,38,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Ohio,39,7.3,7.4,7.7,7.85,7.25,7.25,7.25,8.15,8.3,8.7,8.7,8.8,9.3,10.1
Oklahoma,40,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Oregon,41,8.4,8.5,8.8,8.95,9.1,9.25,9.75,9.75,10.75,11.25,12,12.75,13.5,14.2
Pennsylvania,42,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Rhode Island,44,7.4,7.4,7.4,7.75,8,9,9.6,9.6,10.1,10.5,11.5,11.5,12.25,13
South Carolina,45,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
South Dakota,46,7.25,7.25,7.25,7.25,7.25,8.5,8.55,8.65,8.85,9.3,9.3,9.45,9.95,10.8
Tennessee,47,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Texas,48,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Utah,49,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Vermont,50,8.06,8.15,8.46,8.6,8.73,9.15,9.6,10,10.5,10.96,10.96,11.75,12.55,13.18
Virginia,51,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,9.5,11,12
Washington,53,8.55,8.67,9.04,9.19,9.32,9.47,9.47,11,11.5,13.5,13.5,13.69,14.49,15.74
West Virginia,54,7.25,7.25,7.25,7.25,7.25,8,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
Wisconsin,55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Wyoming,56,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
District of Columbia,11,8.25,8.25,8.25,8.25,9.5,10.5,11.5,11.5,13.25,14,15,15.2,16.1,17
